id,name,fpl_name
1,Arsenal,Arsenal
2,Aston Villa,Aston Villa
127,Bournemouth,Bournemouth
130,Brentford,Brentford
131,Brighton & Hove Albion,Brighton
43,Burnley,Burnley
4,Chelsea,Chelsea
6,Crystal Palace,Crystal Palace
7,Everton,Everton
34,Fulham,Fulham
10,Liverpool,Liverpool
163,Luton Town,Luton
11,Manchester City,Man City
12,Manchester United,Man Utd
23,Newcastle United,Newcastle
15,Nottingham Forest,Nott'm Forest
18,Sheffield United,Sheffield Utd
21,Tottenham Hotspur,Spurs
25,West Ham United,West Ham
38,Wolverhampton Wanderers,Wolves
